phase,iteration,game_id,move_number,board_state,player,action_chosen,ucb_chosen,policy_distribution,winner,c_value,temperature,policy_loss,value_loss,predicted_value,final_value
selfplay,0,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,4,0.21874026909504585,"[0.11224489795918367, 0.2755102040816326, 0.11224489795918367, 0.1836734693877551, 0.09183673469387756, 0.11224489795918367, 0.11224489795918367]",,2,1.25,,,,
selfplay,0,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0.2123066248046605,"[0.11, 0.11, 0.36, 0.11, 0.09, 0.11, 0.11]",,2,1.25,,,,
selfplay,0,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,5,0.2386797231482889,"[0.22105263157894736, 0.1368421052631579, 0.11578947368421053, 0.15789473684210525, 0.15789473684210525, 0.09473684210526316, 0.11578947368421053]",,2,1.25,,,,
selfplay,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,4,0.22554020579142828,"[0.11224489795918367, 0.11224489795918367, 0.11224489795918367, 0.30612244897959184, 0.1326530612244898, 0.11224489795918367, 0.11224489795918367]",,2,1.25,,,,
selfplay,0,3,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",-1,1,0.20575657327106137,"[0.11, 0.11, 0.11, 0.36, 0.11, 0.09, 0.11]",,2,1.25,,,,
selfplay,0,2,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",-1,2,0.2215561768642789,"[0.13402061855670103, 0.1134020618556701, 0.24742268041237114, 0.1134020618556701, 0.09278350515463918, 0.1134020618556701, 0.18556701030927836]",,2,1.25,,,,
selfplay,0,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",-1,0,0.21900247250003033,"[0.21875, 0.11458333333333333, 0.1875, 0.15625, 0.09375, 0.09375, 0.13541666666666666]",,2,1.25,,,,
selfplay,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",-1,3,0.21062375397815278,"[0.18947368421052632, 0.18947368421052632, 0.11578947368421053, 0.11578947368421053, 0.09473684210526316, 0.1368421052631579, 0.15789473684210525]",,2,1.25,,,,
selfplay,0,3,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0]",1,0,0.22018812529345105,"[0.1134020618556701, 0.18556701030927836, 0.1134020618556701, 0.1134020618556701, 0.13402061855670103, 0.09278350515463918, 0.24742268041237114]",,2,1.25,,,,
selfplay,0,2,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0]",1,5,0.23419861766598749,"[0.11458333333333333, 0.1875, 0.11458333333333333, 0.11458333333333333, 0.09375, 0.1875, 0.1875]",,2,1.25,,,,
selfplay,0,1,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0]",1,5,0.22223065197662728,"[0.1134020618556701, 0.15463917525773196, 0.09278350515463918, 0.1134020618556701, 0.09278350515463918, 0.21649484536082475, 0.21649484536082475]",,2,1.25,,,,
selfplay,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0]",1,1,0.2344502538213187,"[0.11702127659574468, 0.11702127659574468, 0.1595744680851064, 0.13829787234042554, 0.19148936170212766, 0.11702127659574468, 0.1595744680851064]",,2,1.25,,,,
selfplay,0,3,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 1, 0, 0]",-1,2,0.2305889923303221,"[0.1368421052631579, 0.11578947368421053, 0.15789473684210525, 0.1368421052631579, 0.22105263157894736, 0.11578947368421053, 0.11578947368421053]",,2,1.25,,,,
selfplay,0,2,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 1, 0]",-1,5,0.20850761752193586,"[0.1134020618556701, 0.24742268041237114, 0.18556701030927836, 0.1134020618556701, 0.09278350515463918, 0.13402061855670103, 0.1134020618556701]",,2,1.25,,,,
selfplay,0,1,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 1, 0]",-1,1,0.23680803195116978,"[0.11458333333333333, 0.13541666666666666, 0.13541666666666666, 0.25, 0.09375, 0.11458333333333333, 0.15625]",,2,1.25,,,,
selfplay,0,0,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 1, 0, 0]",-1,2,0.23799159029428948,"[0.11578947368421053, 0.11578947368421053, 0.15789473684210525, 0.1368421052631579, 0.09473684210526316, 0.15789473684210525, 0.22105263157894736]",,2,1.25,,,,
selfplay,0,3,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, 0, 1, 0, 0]",1,5,0.22442263683027017,"[0.18556701030927836, 0.1134020618556701, 0.13402061855670103, 0.09278350515463918, 0.1134020618556701, 0.24742268041237114, 0.1134020618556701]",,2,1.25,,,,
selfplay,0,2,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, 0, 0, 1, 0]",1,6,0.20077043930115404,"[0.11, 0.11, 0.09, 0.36, 0.09, 0.13, 0.11]",,2,1.25,,,,
selfplay,0,1,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 1, 0]",1,2,0.22663305800234518,"[0.11224489795918367, 0.11224489795918367, 0.21428571428571427, 0.24489795918367346, 0.09183673469387756, 0.11224489795918367, 0.11224489795918367]",,2,1.25,,,,
selfplay,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, 1, 0, 0]",1,6,0.24005306362182238,"[0.11827956989247312, 0.11827956989247312, 0.16129032258064516, 0.11827956989247312, 0.16129032258064516, 0.16129032258064516, 0.16129032258064516]",,2,1.25,,,,
selfplay,0,3,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, 0, 1, 1, 0]",-1,1,0.2101547918040716,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111]",,2,1.25,,,,
selfplay,0,2,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, 0, 0, 1, 1]",-1,4,0.18910689010449808,"[0.1875, 0.11458333333333333, 0.11458333333333333, 0.13541666666666666, 0.11458333333333333, 0.11458333333333333, 0.21875]",,2,1.25,,,,
selfplay,0,1,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, -1, 1, 0, 0, 1, 0]",-1,5,0.23403891794633574,"[0.11458333333333333, 0.13541666666666666, 0.1875, 0.11458333333333333, 0.11458333333333333, 0.21875, 0.11458333333333333]",,2,1.25,,,,
selfplay,0,0,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, 1, 0, 1]",-1,1,0.22813492375202468,"[0.13402061855670103, 0.13402061855670103, 0.13402061855670103, 0.27835051546391754, 0.09278350515463918, 0.1134020618556701, 0.1134020618556701]",,2,1.25,,,,
